case_id,dissatisfaction,policy_demand,coproduction_request,outcome
1,0.06626546330043824,0.10772195864385076,0.047837929534623146,1.0
2,0.006258040616808761,0.997763972338729,0.047837929534623146,1.0
3,0.006258040616808761,0.000635097043258459,0.9993649029567415,1.0
4,0.44437218156375213,0.008683054895391836,0.047837929534623146,0.0
5,0.006258040616808761,0.9993649029567415,0.047837929534623146,1.0
6,0.000635097043258459,0.10772195864385076,0.9993649029567415,1.0
7,0.9842070483141202,0.000635097043258459,0.0052954525059754985,0.0
8,0.006258040616808761,0.5914400140969469,0.047837929534623146,1.0
9,0.006258040616808761,0.10772195864385076,0.3216421096338967,1.0
10,0.8879580143717777,0.008683054895391836,0.0052954525059754985,0.0
11,0.006258040616808761,0.9310914292320361,0.047837929534623146,1.0
12,0.006258040616808761,0.008683054895391836,0.9640993353118676,1.0
13,0.44437218156375213,0.008683054895391836,0.047837929534623146,0.0
14,0.006258040616808761,0.5914400140969469,0.047837929534623146,1.0
15,0.006258040616808761,0.008683054895391836,0.9981352607101317,1.0
16,0.9842070483141202,0.000635097043258459,0.000635097043258459,0.0
17,0.006258040616808761,0.5914400140969469,0.047837929534623146,1.0
18,0.000635097043258459,0.10772195864385076,0.9928295844891794,1.0
19,0.9972736396791588,0.000635097043258459,0.047837929534623146,0.0
20,0.006258040616808761,0.5914400140969469,0.047837929534623146,1.0
21,0.006258040616808761,0.008683054895391836,0.9928295844891794,1.0
22,0.8879580143717777,0.000635097043258459,0.047837929534623146,0.0
23,0.006258040616808761,0.9310914292320361,0.3216421096338967,1.0
24,0.006258040616808761,0.000635097043258459,0.9981352607101317,1.0
25,0.9842070483141202,0.008683054895391836,0.047837929534623146,0.0
26,0.006258040616808761,0.9892334397330276,0.047837929534623146,1.0
27,0.006258040616808761,0.008683054895391836,0.9993649029567415,1.0
28,0.9972736396791588,0.008683054895391836,0.0052954525059754985,0.0
29,0.006258040616808761,0.9993649029567415,0.047837929534623146,1.0
30,0.006258040616808761,0.008683054895391836,0.7988728630273242,1.0
31,0.8879580143717777,0.008683054895391836,0.047837929534623146,0.0
32,0.006258040616808761,0.9892334397330276,0.047837929534623146,1.0
33,0.006258040616808761,0.008683054895391836,0.9993649029567415,1.0
34,0.9993649029567415,0.000635097043258459,0.0052954525059754985,0.0
35,0.006258040616808761,0.9892334397330276,0.047837929534623146,1.0
36,0.006258040616808761,0.000635097043258459,0.9928295844891794,1.0
37,0.44437218156375213,0.008683054895391836,0.047837929534623146,0.0
38,0.006258040616808761,0.9310914292320361,0.047837929534623146,1.0
39,0.006258040616808761,0.008683054895391836,0.9981352607101317,1.0
40,0.06626546330043824,0.008683054895391836,0.047837929534623146,0.0
