case_id,dissatisfaction,policy_demand,coproduction_request
1,0.32030374216207136,0.3563920424898766,0.29684303503638887
2,0.15578431239377474,0.9143958061115193,0.29684303503638887
3,0.15578431239377474,0.0,1.0
4,0.48482317193036806,0.1781960212449383,0.29684303503638887
5,0.15578431239377474,1.0,0.29684303503638887
6,0.0,0.3563920424898766,1.0
7,0.7806831844325841,0.0,0.14437386147872777
8,0.15578431239377474,0.5251267912064606,0.29684303503638887
9,0.15578431239377474,0.3563920424898766,0.44931220859405
10,0.6406074843241428,0.1781960212449383,0.14437386147872777
11,0.15578431239377474,0.6768470619828515,0.29684303503638887
12,0.15578431239377474,0.1781960212449383,0.7235018994925831
13,0.48482317193036806,0.1781960212449383,0.29684303503638887
14,0.15578431239377474,0.5251267912064606,0.29684303503638887
15,0.15578431239377474,0.1781960212449383,0.9267548141419729
16,0.7806831844325841,0.0,0.0
17,0.15578431239377474,0.5251267912064606,0.29684303503638887
18,0.0,0.3563920424898766,0.8349089903470964
19,0.9008952288206766,0.0,0.29684303503638887
20,0.15578431239377474,0.5251267912064606,0.29684303503638887
21,0.15578431239377474,0.1781960212449383,0.8349089903470964
22,0.6406074843241428,0.0,0.29684303503638887
23,0.15578431239377474,0.6768470619828515,0.44931220859405
24,0.15578431239377474,0.0,0.9267548141419729
25,0.7806831844325841,0.1781960212449383,0.29684303503638887
26,0.15578431239377474,0.8070524003179467,0.29684303503638887
27,0.15578431239377474,0.1781960212449383,1.0
28,0.9008952288206766,0.1781960212449383,0.14437386147872777
29,0.15578431239377474,1.0,0.29684303503638887
30,0.15578431239377474,0.1781960212449383,0.5936860700727778
31,0.6406074843241428,0.1781960212449383,0.29684303503638887
32,0.15578431239377474,0.8070524003179467,0.29684303503638887
33,0.15578431239377474,0.1781960212449383,1.0
34,1.0,0.0,0.14437386147872777
35,0.15578431239377474,0.8070524003179467,0.29684303503638887
36,0.15578431239377474,0.0,0.8349089903470964
37,0.48482317193036806,0.1781960212449383,0.29684303503638887
38,0.15578431239377474,0.6768470619828515,0.29684303503638887
39,0.15578431239377474,0.1781960212449383,0.9267548141419729
40,0.32030374216207136,0.1781960212449383,0.29684303503638887
