case_id,dissatisfaction,policy_demand,coproduction_request
1,0.06626546330043824,0.10772195864385076,0.047837929534623146
2,0.006258040616808761,0.997763972338729,0.047837929534623146
3,0.006258040616808761,0.000635097043258459,0.9993649029567415
4,0.44437218156375213,0.008683054895391836,0.047837929534623146
5,0.006258040616808761,0.9993649029567415,0.047837929534623146
6,0.000635097043258459,0.10772195864385076,0.9993649029567415
7,0.9842070483141202,0.000635097043258459,0.0052954525059754985
8,0.006258040616808761,0.5914400140969469,0.047837929534623146
9,0.006258040616808761,0.10772195864385076,0.3216421096338967
10,0.8879580143717777,0.008683054895391836,0.0052954525059754985
11,0.006258040616808761,0.9310914292320361,0.047837929534623146
12,0.006258040616808761,0.008683054895391836,0.9640993353118676
13,0.44437218156375213,0.008683054895391836,0.047837929534623146
14,0.006258040616808761,0.5914400140969469,0.047837929534623146
15,0.006258040616808761,0.008683054895391836,0.9981352607101317
16,0.9842070483141202,0.000635097043258459,0.000635097043258459
17,0.006258040616808761,0.5914400140969469,0.047837929534623146
18,0.000635097043258459,0.10772195864385076,0.9928295844891794
19,0.9972736396791588,0.000635097043258459,0.047837929534623146
20,0.006258040616808761,0.5914400140969469,0.047837929534623146
21,0.006258040616808761,0.008683054895391836,0.9928295844891794
22,0.8879580143717777,0.000635097043258459,0.047837929534623146
23,0.006258040616808761,0.9310914292320361,0.3216421096338967
24,0.006258040616808761,0.000635097043258459,0.9981352607101317
25,0.9842070483141202,0.008683054895391836,0.047837929534623146
26,0.006258040616808761,0.9892334397330276,0.047837929534623146
27,0.006258040616808761,0.008683054895391836,0.9993649029567415
28,0.9972736396791588,0.008683054895391836,0.0052954525059754985
29,0.006258040616808761,0.9993649029567415,0.047837929534623146
30,0.006258040616808761,0.008683054895391836,0.7988728630273242
31,0.8879580143717777,0.008683054895391836,0.047837929534623146
32,0.006258040616808761,0.9892334397330276,0.047837929534623146
33,0.006258040616808761,0.008683054895391836,0.9993649029567415
34,0.9993649029567415,0.000635097043258459,0.0052954525059754985
35,0.006258040616808761,0.9892334397330276,0.047837929534623146
36,0.006258040616808761,0.000635097043258459,0.9928295844891794
37,0.44437218156375213,0.008683054895391836,0.047837929534623146
38,0.006258040616808761,0.9310914292320361,0.047837929534623146
39,0.006258040616808761,0.008683054895391836,0.9981352607101317
40,0.06626546330043824,0.008683054895391836,0.047837929534623146
