case_id,dissatisfaction,policy_demand,coproduction_request
1,0.5,0.5825702064623147,0.5
2,0.4174297935376853,0.8411308951190849,0.5
3,0.4174297935376853,0.4174297935376853,0.8807970779778823
4,0.5825702064623147,0.5,0.5
5,0.4174297935376853,0.8807970779778823,0.5
6,0.33924363123418283,0.5825702064623147,0.8807970779778823
7,0.7310585786300049,0.4174297935376853,0.4174297935376853
8,0.4174297935376853,0.6607563687658172,0.5
9,0.4174297935376853,0.5825702064623147,0.5825702064623147
10,0.6607563687658172,0.5,0.4174297935376853
11,0.4174297935376853,0.7310585786300049,0.5
12,0.4174297935376853,0.5,0.7310585786300049
13,0.5825702064623147,0.5,0.5
14,0.4174297935376853,0.6607563687658172,0.5
15,0.4174297935376853,0.5,0.8411308951190849
16,0.7310585786300049,0.4174297935376853,0.33924363123418283
17,0.4174297935376853,0.6607563687658172,0.5
18,0.33924363123418283,0.5825702064623147,0.791391472673955
19,0.791391472673955,0.4174297935376853,0.5
20,0.4174297935376853,0.6607563687658172,0.5
21,0.4174297935376853,0.5,0.791391472673955
22,0.6607563687658172,0.4174297935376853,0.5
23,0.4174297935376853,0.7310585786300049,0.5825702064623147
24,0.4174297935376853,0.4174297935376853,0.8411308951190849
25,0.7310585786300049,0.5,0.5
26,0.4174297935376853,0.791391472673955,0.5
27,0.4174297935376853,0.5,0.8807970779778823
28,0.791391472673955,0.5,0.4174297935376853
29,0.4174297935376853,0.8807970779778823,0.5
30,0.4174297935376853,0.5,0.6607563687658172
31,0.6607563687658172,0.5,0.5
32,0.4174297935376853,0.791391472673955,0.5
33,0.4174297935376853,0.5,0.8807970779778823
34,0.8411308951190849,0.4174297935376853,0.4174297935376853
35,0.4174297935376853,0.791391472673955,0.5
36,0.4174297935376853,0.4174297935376853,0.791391472673955
37,0.5825702064623147,0.5,0.5
38,0.4174297935376853,0.7310585786300049,0.5
39,0.4174297935376853,0.5,0.8411308951190849
40,0.5,0.5,0.5
